TEAM_NAME,TEAM_ID,ADJUSTED_WINS,DISPLAY_WINS,DISPLAY_LOSSES,DISPLAY_OPTIMISTIC_WINS,DISPLAY_PESSIMISTIC_WINS,ROSTER_CONFIDENCE,ROSTER_SENSITIVITY,INCOMING_STAT_COVERAGE
San Antonio Spurs,1610612759,59.617305981310494,60,22,63,56,LOW,MEDIUM,0.3333333333333333
Detroit Pistons,1610612765,55.82919951638839,56,26,58,53,HIGH,LOW,0.7142857142857143
Oklahoma City Thunder,1610612760,54.6718332654222,55,27,61,48,LOW,HIGH,0.0
Houston Rockets,1610612745,53.81348784098731,54,28,57,50,MEDIUM,MEDIUM,0.5555555555555556
New York Knicks,1610612752,52.15920684557178,52,30,55,49,MEDIUM,LOW,0.3333333333333333
Boston Celtics,1610612738,50.90339079025631,51,31,55,47,MEDIUM,MEDIUM,0.42857142857142855
Atlanta Hawks,1610612737,49.37063198904044,49,33,54,45,MEDIUM,MEDIUM,0.625
Cleveland Cavaliers,1610612739,48.638018743096225,49,33,54,43,MEDIUM,HIGH,0.25
Toronto Raptors,1610612761,47.38496906192305,47,35,50,45,MEDIUM,LOW,0.5714285714285714
Charlotte Hornets,1610612766,46.92950068961505,47,35,50,44,MEDIUM,LOW,0.5
Orlando Magic,1610612753,46.316645162211806,46,36,49,43,MEDIUM,LOW,0.5
LA Clippers,1610612746,45.35423441034653,45,37,48,43,MEDIUM,LOW,0.5
Denver Nuggets,1610612743,45.17446432222885,45,37,51,40,MEDIUM,HIGH,0.25
Phoenix Suns,1610612756,45.0172315461318,45,37,48,42,HIGH,LOW,0.75
Philadelphia 76ers,1610612755,44.914016664722624,45,37,49,41,MEDIUM,MEDIUM,0.6153846153846154
Golden State Warriors,1610612744,42.76934366889163,43,39,45,40,MEDIUM,LOW,0.4
Minnesota Timberwolves,1610612750,42.21151594237335,42,40,46,38,MEDIUM,MEDIUM,0.4
Portland Trail Blazers,1610612757,39.66663602824367,40,42,42,37,HIGH,LOW,0.8333333333333334
Miami Heat,1610612748,39.575886153976626,40,42,42,37,MEDIUM,LOW,0.625
Los Angeles Lakers,1610612747,36.62985126275022,37,45,39,34,HIGH,LOW,0.7272727272727273
New Orleans Pelicans,1610612740,35.16183548856809,35,47,38,32,MEDIUM,MEDIUM,0.6666666666666666
Milwaukee Bucks,1610612749,33.9449548549261,34,48,37,31,MEDIUM,MEDIUM,0.6
Dallas Mavericks,1610612742,32.360101672644376,32,50,37,28,MEDIUM,MEDIUM,0.4
Chicago Bulls,1610612741,32.1386006649371,32,50,37,27,LOW,MEDIUM,0.3333333333333333
Indiana Pacers,1610612754,31.377439547164506,31,51,35,27,MEDIUM,MEDIUM,0.5
Brooklyn Nets,1610612751,26.624363616452186,27,55,32,21,MEDIUM,HIGH,0.5
Memphis Grizzlies,1610612763,25.443036466900015,25,57,35,15,MEDIUM,HIGH,0.6666666666666666
Utah Jazz,1610612762,24.603365620999188,25,57,32,17,MEDIUM,HIGH,0.625
Sacramento Kings,1610612758,22.648623851439485,23,59,32,13,LOW,HIGH,0.2
Washington Wizards,1610612764,18.75030833048048,19,63,25,12,MEDIUM,HIGH,0.6
