PLAYER_ID,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME
2062,A.J.,1610612741,CHI,24.0,45,10,35,0.222,603.93,88,244,0.361,46,123,0.374,22,27,0.815,12,32,44,81,37,10,7,3,23,0,244,-43,432.3,0,0,449.0,1,2001-02,13.4,98.1,97.9,97.9,101.9,101.7,101.7,-3.8,-3.9,-3.9,0.248,2.19,21.6,0.019,0.057,0.037,9.9,9.9,0.455,0.477,0.217,0.221,92.43,92.67,77.23,92.67,0.083,1167,2.0,5.4,A.J. Guyton
243,Aaron,1610612755,PHI,29.0,48,26,22,0.542,1469.013333333333,220,490,0.449,51,128,0.398,96,122,0.787,26,166,192,179,93,56,14,41,74,0,587,113,1202.9,1,0,1149.0,1,2001-02,30.6,98.7,98.8,98.8,95.3,95.3,95.3,3.4,3.5,3.5,0.22,1.92,21.9,0.018,0.112,0.066,11.4,11.4,0.501,0.54,0.196,0.199,91.57,91.59,76.32,91.59,0.128,2811,4.6,10.2,Aaron McKie
1425,Aaron,1610612751,NJN,30.0,82,52,30,0.634,1549.9183333333333,231,439,0.526,0,2,0.0,130,186,0.699,115,224,339,77,79,29,76,45,212,0,592,122,1350.3,0,0,1218.0,1,2001-02,18.9,99.7,99.7,99.7,94.9,95.1,95.1,4.8,4.7,4.7,0.084,0.97,11.3,0.077,0.142,0.111,11.6,11.7,0.526,0.568,0.177,0.179,92.97,92.88,77.4,92.88,0.102,2990,2.8,5.4,Aaron Williams
1502,Adonal,1610612744,GSW,27.0,79,19,60,0.241,1485.29,171,385,0.444,0,0,0.0,37,93,0.398,150,234,384,41,76,36,168,29,179,1,379,-205,1437.3,3,0,1212.0,1,2001-02,18.8,95.8,96.6,96.6,103.0,103.4,103.4,-7.1,-6.8,-6.8,0.044,0.54,7.6,0.091,0.153,0.121,14.0,14.0,0.444,0.445,0.143,0.145,96.18,95.56,79.63,95.56,0.069,2955,2.2,4.9,Adonal Foyle
1559,Adrian,1610612742,DAL,27.0,58,40,18,0.69,1386.62,179,359,0.499,16,54,0.296,41,49,0.837,68,161,229,106,42,75,12,25,142,0,415,148,1067.8,0,0,940.0,1,2001-02,23.9,112.8,112.6,112.6,106.5,106.5,106.5,6.3,6.1,6.1,0.108,2.52,20.2,0.051,0.116,0.084,8.0,7.9,0.521,0.545,0.134,0.138,95.61,95.71,79.76,95.71,0.083,2756,3.1,6.2,Adrian Griffin
1733,Al,1610612754,IND,22.0,44,22,22,0.5,1309.385,230,484,0.475,1,3,0.333,115,144,0.799,96,180,276,54,78,41,21,26,166,0,576,-52,1096.2,5,0,1031.0,1,2001-02,29.8,100.4,100.8,100.8,101.7,102.5,102.5,-1.4,-1.6,-1.6,0.073,0.69,7.9,0.074,0.134,0.105,11.5,11.5,0.476,0.526,0.215,0.218,94.52,93.99,78.33,93.99,0.093,2559,5.2,11.0,Al Harrington
673,Alan,1610612737,ATL,29.0,26,14,12,0.538,422.865,59,116,0.509,1,1,1.0,24,45,0.533,31,66,97,11,21,11,15,18,40,0,143,32,332.9,1,0,304.0,1,2001-02,16.3,98.5,98.4,98.4,96.8,95.6,95.6,1.7,2.8,2.8,0.043,0.52,6.5,0.076,0.151,0.114,12.5,12.5,0.513,0.527,0.167,0.17,93.81,94.38,78.65,94.38,0.09,836,2.3,4.5,Alan Henderson
275,Allan,1610612752,NYK,31.0,77,28,49,0.364,2915.17,568,1301,0.437,136,346,0.393,295,339,0.87,37,215,252,190,170,54,10,50,182,0,1567,-349,2176.4,1,0,2273.0,1,2001-02,37.9,99.8,100.9,100.9,106.1,106.8,106.8,-6.3,-5.9,-5.9,0.123,1.12,10.6,0.013,0.076,0.045,9.5,9.4,0.489,0.54,0.252,0.258,92.91,92.12,76.77,92.12,0.095,5587,7.4,16.9,Allan Houston
947,Allen,1610612755,PHI,27.0,60,36,24,0.6,2624.165,665,1669,0.398,78,268,0.291,475,585,0.812,44,225,269,331,237,168,13,93,102,1,1883,283,3008.3,4,1,2923.0,1,2001-02,43.7,100.7,102.1,102.1,95.6,96.6,96.6,5.1,5.5,5.5,0.266,1.4,13.3,0.017,0.084,0.051,9.5,9.5,0.422,0.489,0.365,0.371,92.93,91.86,76.55,91.86,0.149,5025,11.1,27.8,Allen Iverson
297,Alonzo,1610612748,MIA,32.0,75,34,41,0.453,2453.2233333333334,447,866,0.516,1,3,0.333,283,431,0.657,182,450,632,87,182,27,186,61,258,3,1178,51,2523.9,26,0,2324.0,1,2001-02,32.7,97.9,98.5,98.5,96.8,96.5,96.5,1.1,2.0,2.0,0.067,0.48,6.5,0.08,0.185,0.134,13.7,13.7,0.517,0.558,0.24,0.243,89.39,89.29,74.41,89.29,0.132,4543,6.0,11.5,Alonzo Mourning
