PLAYER_ID,PLAYER_NAME_trad,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,PLAYER_NAME_adv,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG
203932,Aaron Gordon,Aaron,1610612743,DEN,25.0,50,29,21,0.58,1383.78,231,499,0.463,59,176,0.335,97,149,0.651,77,207,284,161,97,33,34,29,89,137,618,60,1304.3,3,1,1256.0,2,2020-21,Aaron Gordon,27.7,111.8,112.5,112.5,110.4,110.4,110.4,1.4,2.1,2.1,0.165,1.66,19.6,0.055,0.15,0.102,11.8,11.8,0.522,0.547,0.204,0.207,99.83,99.48,82.9,99.48,0.095,2868,4.6,10.0
1628988,Aaron Holiday,Aaron,1610612754,IND,24.0,66,30,36,0.455,1176.0866666666666,170,436,0.39,67,182,0.368,68,83,0.819,15,74,89,123,66,46,13,32,94,74,475,3,877.3,1,0,872.0,1,2020-21,Aaron Holiday,17.8,110.2,110.1,110.1,109.9,110.3,110.3,0.2,-0.2,-0.2,0.139,1.86,18.5,0.012,0.06,0.036,9.9,10.0,0.467,0.503,0.189,0.193,104.48,104.34,86.95,104.34,0.057,2560,2.6,6.6
1630174,Aaron Nesmith,Aaron,1610612738,BOS,21.0,46,22,24,0.478,668.7316666666667,78,178,0.438,40,108,0.37,22,28,0.786,28,99,127,23,23,15,9,12,87,29,218,-7,453.9,0,0,456.0,1,2020-21,Aaron Nesmith,14.5,108.9,108.6,108.6,108.6,109.1,109.1,0.3,-0.5,-0.5,0.047,1.0,9.7,0.041,0.146,0.093,9.7,9.7,0.551,0.573,0.133,0.138,101.2,101.13,84.28,101.13,0.06,1409,1.7,3.9
1627846,Abdel Nader,Abdel,1610612756,PHX,27.0,24,16,8,0.667,355.25,57,116,0.491,18,43,0.419,28,37,0.757,7,55,62,19,19,10,9,7,34,35,160,28,300.9,0,0,297.0,1,2020-21,Abdel Nader,14.8,106.6,106.7,106.7,103.2,101.7,101.7,3.4,5.0,5.0,0.078,1.0,11.2,0.02,0.151,0.088,11.2,11.2,0.569,0.605,0.183,0.189,102.3,102.96,85.8,102.96,0.092,757,2.4,4.8
1629690,Adam Mokoka,Adam,1610612741,CHI,22.0,14,3,11,0.214,56.178333333333335,7,19,0.368,1,10,0.1,0,1,0.0,1,4,5,5,5,2,1,1,5,1,15,-8,32.5,0,0,32.0,1,2020-21,Adam Mokoka,4.0,85.1,83.2,83.2,93.4,90.3,90.3,-8.3,-7.1,-7.1,0.179,1.0,17.2,0.017,0.077,0.045,17.2,17.0,0.395,0.386,0.171,0.186,103.47,106.38,88.65,106.38,0.025,125,0.5,1.4
201143,Al Horford,Al,1610612738,BOS,35.0,28,11,17,0.393,781.755,162,360,0.45,56,152,0.368,18,22,0.818,29,159,188,94,29,25,26,10,48,33,398,-101,888.6,1,0,838.0,1,2020-21,Al Horford,27.9,102.0,102.2,102.2,108.2,109.1,109.1,-6.1,-6.9,-6.9,0.206,3.24,19.2,0.034,0.195,0.114,5.9,5.9,0.528,0.538,0.221,0.227,100.81,100.3,83.58,100.3,0.131,1639,5.8,12.9
202329,Al-Farouq Aminu,Al-Farouq,1610612741,CHI,30.0,23,5,18,0.217,434.14,38,99,0.384,8,37,0.216,18,22,0.818,22,88,110,31,28,19,9,5,29,26,102,-54,336.5,1,0,307.0,2,2020-21,Al-Farouq Aminu,18.9,103.1,102.8,102.8,110.2,109.0,109.0,-7.1,-6.2,-6.2,0.101,1.11,18.8,0.05,0.2,0.125,17.0,16.7,0.424,0.469,0.138,0.142,97.33,98.01,81.68,98.01,0.075,887,1.7,4.3
202692,Alec Burks,Alec,1610612752,NYK,29.0,49,27,22,0.551,1254.56,210,500,0.42,102,246,0.415,101,118,0.856,21,206,227,107,49,31,14,31,102,94,623,125,1141.9,3,0,1149.0,1,2020-21,Alec Burks,25.6,108.9,109.6,109.6,104.0,104.6,104.6,4.9,5.0,5.0,0.135,2.18,15.2,0.016,0.156,0.087,6.9,6.9,0.522,0.564,0.208,0.214,97.83,97.22,81.02,97.22,0.115,2540,4.3,10.2
1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,19.0,45,13,32,0.289,1089.915,139,408,0.341,58,207,0.28,31,42,0.738,30,182,212,97,99,20,42,10,58,35,367,-393,853.9,1,0,858.0,1,2020-21,Aleksej Pokusevski,24.2,98.2,98.1,98.1,114.5,114.9,114.9,-16.3,-16.7,-16.7,0.133,0.98,15.5,0.025,0.155,0.09,15.9,15.9,0.412,0.43,0.197,0.201,104.57,104.44,87.03,104.44,0.058,2373,3.1,9.1
1629346,Alen Smailagic,Alen,1610612744,GSW,20.0,15,10,5,0.667,83.855,11,27,0.407,4,10,0.4,2,6,0.333,6,10,16,4,5,3,5,2,11,4,28,-32,72.2,0,0,68.0,1,2020-21,Alen Smailagic,5.6,95.7,95.2,95.2,112.4,112.8,112.8,-16.7,-17.6,-17.6,0.078,0.8,10.3,0.065,0.111,0.087,12.8,12.9,0.481,0.472,0.165,0.171,107.28,107.33,89.44,107.33,0.043,188,0.7,1.8
