PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1628373,Frank Ntilikina,2017,Other Team/Club,2017-18,78.0,21.9,5.9,2.3,3.2,0.437,0.166
1628390,Terrance Ferguson,2017,Other Team/Club,2017-18,61.0,12.5,3.1,0.8,0.3,0.545,0.104
1628413,Jonah Bolden,2017,Other Team/Club,2018-19,44.0,14.5,4.7,3.8,0.9,0.595,0.131
1629029,Luka Dončić,2018,Other Team/Club,2018-19,72.0,32.2,21.2,7.8,6.0,0.545,0.296
1629048,Goga Bitadze,2019,Other Team/Club,2020-21,45.0,12.5,5.1,3.3,0.8,0.523,0.169
1629058,Dzanan Musa,2018,Other Team/Club,2019-20,40.0,12.2,4.8,2.2,1.1,0.484,0.193
1629059,Elie Okobo,2018,Other Team/Club,2018-19,53.0,18.1,5.7,1.8,2.4,0.489,0.168
1629066,Rodions Kurucs,2018,Other Team/Club,2018-19,63.0,20.5,8.5,3.9,0.8,0.545,0.175
1629067,Isaac Bonga,2018,Other Team/Club,2019-20,66.0,18.9,5.0,3.4,1.2,0.608,0.106
1629635,Sekou Doumbouya,2019,Other Team/Club,2019-20,38.0,19.8,6.4,3.1,0.5,0.474,0.164
1630163,LaMelo Ball,2020,Other Team/Club,2020-21,51.0,28.8,15.7,5.9,6.1,0.539,0.247
1630165,Killian Hayes,2020,Other Team/Club,2020-21,26.0,25.8,6.8,2.7,5.3,0.422,0.185
1630166,Deni Avdija,2020,Other Team/Club,2020-21,54.0,23.3,6.3,4.9,1.2,0.515,0.118
1630177,Theo Maledon,2020,Other Team/Club,2020-21,65.0,27.3,10.1,3.2,3.5,0.489,0.188
1630181,R.J. Hampton,2020,Other Team/Club,2020-21,51.0,17.4,6.9,3.5,1.7,0.507,0.191
1630197,Aleksej Pokusevski,2020,Other Team/Club,2020-21,45.0,24.2,8.2,4.7,2.2,0.43,0.197
1630224,Jalen Green,2021,Other Team/Club,2021-22,67.0,31.9,17.3,3.4,2.6,0.547,0.234
1630228,Jonathan Kuminga,2021,Other Team/Club,2021-22,70.0,16.9,9.3,3.3,0.9,0.6,0.227
1630249,Vít Krejčí,2020,Other Team/Club,2021-22,30.0,23.0,6.2,3.4,1.9,0.529,0.125
1630578,Alperen Sengun,2021,Other Team/Club,2021-22,72.0,20.7,9.6,5.5,2.6,0.552,0.214
1630581,Josh Giddey,2021,Other Team/Club,2021-22,54.0,31.5,12.5,7.8,6.4,0.478,0.218
1630699,MarJon Beauchamp,2022,Other Team/Club,2022-23,52.0,13.5,5.1,2.2,0.7,0.513,0.175
1630700,Dyson Daniels,2022,Other Team/Club,2022-23,59.0,17.7,3.8,3.2,2.3,0.503,0.113
1630702,Jaden Hardy,2022,Other Team/Club,2022-23,48.0,14.8,8.8,1.9,1.4,0.571,0.248
1630703,Scoot Henderson,2023,Other Team/Club,2023-24,62.0,28.5,14.0,3.1,5.4,0.489,0.26
1631107,Nikola Jović,2022,Other Team/Club,2023-24,46.0,19.5,7.7,4.2,2.0,0.583,0.171
1631172,Ousmane Dieng,2022,Other Team/Club,2022-23,39.0,14.6,4.9,2.7,1.2,0.505,0.154
1641705,Victor Wembanyama,2023,Other Team/Club,2023-24,71.0,29.7,21.4,10.6,3.9,0.565,0.312
1641708,Amen Thompson,2023,Other Team/Club,2023-24,62.0,22.4,9.5,6.6,2.6,0.576,0.173
1641709,Ausar Thompson,2023,Other Team/Club,2023-24,63.0,25.1,8.8,6.4,1.9,0.522,0.161
1641712,Rayan Rupert,2023,Other Team/Club,2023-24,39.0,16.2,4.0,2.4,1.6,0.451,0.131
1641731,Bilal Coulibaly,2023,Other Team/Club,2023-24,63.0,27.2,8.4,4.1,1.7,0.543,0.139
1641774,Tristan Vukcevic,2023,Other Team/Club,2024-25,35.0,14.6,9.4,3.7,1.1,0.608,0.252
1641824,Matas Buzelis,2024,Other Team/Club,2024-25,80.0,18.9,8.6,3.5,1.0,0.571,0.181
1641842,Ronald Holland II,2024,Other Team/Club,2024-25,81.0,15.6,6.4,2.7,1.0,0.556,0.177
1642258,Zaccharie Risacher,2024,Other Team/Club,2024-25,75.0,24.6,12.6,3.6,1.2,0.558,0.203
1642259,Alex Sarr,2024,Other Team/Club,2024-25,67.0,27.1,13.0,6.5,2.4,0.482,0.23
1642275,Tidjane Salaün,2024,Other Team/Club,2024-25,60.0,20.7,5.9,4.7,1.2,0.457,0.15
1642358,AJ Johnson,2024,Other Team/Club,2024-25,29.0,22.0,7.6,2.0,2.6,0.48,0.173

