PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT,SOURCE,PRE_NBA_SEASON,PRE_NBA_GP,PRE_NBA_MPG,PRE_NBA_PPG,PRE_NBA_RPG,PRE_NBA_APG,PRE_NBA_TS_PCT,PRE_NBA_USG_PCT
1628373,Frank Ntilikina,2017,Other Team/Club,2017-18,78.0,21.9,5.9,2.3,3.2,0.437,0.166,INTERNATIONAL,2016-17,60,19.1,5.8,2.1,1.7,0.539,0.164
1628390,Terrance Ferguson,2017,Other Team/Club,2017-18,61.0,12.5,3.1,0.8,0.3,0.545,0.104,INTERNATIONAL,2016-17,30,15.2,4.6,1.1,0.6,0.47,0.162
1628413,Jonah Bolden,2017,Other Team/Club,2018-19,44.0,14.5,4.7,3.8,0.9,0.595,0.131,INTERNATIONAL,2017-18,55,20.8345,7.2,6.0,1.4182,0.544,0.175
1629029,Luka Dončić,2018,Other Team/Club,2018-19,72.0,32.2,21.2,7.8,6.0,0.545,0.296,INTERNATIONAL,2017-18,73,25.1,14.2,5.3,4.5,0.592,0.269
1629048,Goga Bitadze,2019,Other Team/Club,2020-21,45.0,12.5,5.1,3.3,0.8,0.523,0.169,INTERNATIONAL,2018-19,51,23.4,13.9,6.3,1.1,0.652,0.246
1629058,Dzanan Musa,2018,Other Team/Club,2019-20,40.0,12.2,4.8,2.2,1.1,0.484,0.193,INTERNATIONAL,2017-18,71,23.1,12.4,3.5,1.9,0.603,0.248
1629059,Elie Okobo,2018,Other Team/Club,2018-19,53.0,18.1,5.7,1.8,2.4,0.489,0.168,INTERNATIONAL,2017-18,36,26.5,13.8,2.7,4.7,0.623,0.254
1629066,Rodions Kurucs,2018,Other Team/Club,2018-19,63.0,20.5,8.5,3.9,0.8,0.545,0.175,INTERNATIONAL,2017-18,26,15.1,7.1,1.8,1.0,0.547,0.243
1629067,Isaac Bonga,2018,Other Team/Club,2019-20,66.0,18.9,5.0,3.4,1.2,0.608,0.106,INTERNATIONAL,2017-18,41,22.1,7.4,3.4,2.4,0.575,0.199
1629635,Sekou Doumbouya,2019,Other Team/Club,2019-20,38.0,19.8,6.4,3.1,0.5,0.474,0.164,INTERNATIONAL,2018-19,39,18.1,7.2,3.0,0.7,0.564,0.206
1630163,LaMelo Ball,2020,Other Team/Club,2020-21,51.0,28.8,15.7,5.9,6.1,0.539,0.247,INTERNATIONAL,2019-20,12,31.2,17.0,7.4,6.8,0.464,0.277
1630165,Killian Hayes,2020,Other Team/Club,2020-21,26.0,25.8,6.8,2.7,5.3,0.422,0.185,INTERNATIONAL,2019-20,33,24.8,11.6,2.8,5.4,0.591,0.243
1630166,Deni Avdija,2020,Other Team/Club,2020-21,54.0,23.3,6.3,4.9,1.2,0.515,0.118,INTERNATIONAL,2019-20,59,21.7186,9.0169,4.661,2.0,0.591,0.197
1630177,Theo Maledon,2020,Other Team/Club,2020-21,65.0,27.3,10.1,3.2,3.5,0.489,0.188,INTERNATIONAL,2019-20,46,17.3,7.3,1.9,2.7,0.551,0.23
1630181,R.J. Hampton,2020,Other Team/Club,2020-21,51.0,17.4,6.9,3.5,1.7,0.507,0.191,INTERNATIONAL,2019-20,15,20.6067,8.8,3.9333,2.4,0.488,0.223
1630197,Aleksej Pokusevski,2020,Other Team/Club,2020-21,45.0,24.2,8.2,4.7,2.2,0.43,0.197,INTERNATIONAL,2019-20,12,21.3417,9.9167,7.25,2.8333,0.517,0.261
1630249,Vít Krejčí,2020,Other Team/Club,2021-22,30.0,23.0,6.2,3.4,1.9,0.529,0.125,INTERNATIONAL,2019-20,37,9.1703,3.1622,1.2432,0.6757,0.625,0.156
1630578,Alperen Sengun,2021,Other Team/Club,2021-22,72.0,20.7,9.6,5.5,2.6,0.552,0.214,INTERNATIONAL,2020-21,37,28.1757,18.973,8.7297,2.7027,0.697,0.267
1630581,Josh Giddey,2021,Other Team/Club,2021-22,54.0,31.5,12.5,7.8,6.4,0.478,0.218,INTERNATIONAL,2020-21,28,32.1321,10.7857,7.3929,7.3929,0.51,0.195
1631107,Nikola Jović,2022,Other Team/Club,2023-24,46.0,19.5,7.7,4.2,2.0,0.583,0.171,INTERNATIONAL,2021-22,25,27.8,11.7,4.4,3.4,0.554,0.226
1631172,Ousmane Dieng,2022,Other Team/Club,2022-23,39.0,14.6,4.9,2.7,1.2,0.505,0.154,INTERNATIONAL,2021-22,23,20.8304,8.8696,3.1304,1.0,0.479,0.241
1641705,Victor Wembanyama,2023,Other Team/Club,2023-24,71.0,29.7,21.4,10.6,3.9,0.565,0.312,INTERNATIONAL,2022-23,44,32.2409,20.8636,10.2955,2.4318,0.571,0.308
1641712,Rayan Rupert,2023,Other Team/Club,2023-24,39.0,16.2,4.0,2.4,1.6,0.451,0.131,INTERNATIONAL,2022-23,28,17.2821,5.9286,2.1429,0.8929,0.451,0.202
1641731,Bilal Coulibaly,2023,Other Team/Club,2023-24,63.0,27.2,8.4,4.1,1.7,0.543,0.139,INTERNATIONAL,2022-23,36,20.2,6.1,3.1,1.0,0.601,0.144
1641774,Tristan Vukcevic,2023,Other Team/Club,2024-25,35.0,14.6,9.4,3.7,1.1,0.608,0.252,INTERNATIONAL,2023-24,30,14.3767,7.7333,3.1667,0.6,0.706,0.217
1642258,Zaccharie Risacher,2024,Other Team/Club,2024-25,75.0,24.6,12.6,3.6,1.2,0.558,0.203,INTERNATIONAL,2023-24,65,23.2615,11.0923,3.9846,0.9231,0.587,0.224
