PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,PRE_NBA_SEASON,PRE_NBA_GP,PRE_NBA_MPG,PRE_NBA_PPG,PRE_NBA_RPG,PRE_NBA_APG,PRE_NBA_TS_PCT,PRE_NBA_USG_PCT,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1628366,Lonzo Ball,2017,College/University,2017,36.0,35.1,14.6,6.0,7.6,0.679,0.181,2017-18,52.0,34.2,10.2,6.9,7.2,0.444,0.169
1628366,Lonzo Ball,2017,College/University,2017,36.0,35.1,14.6,6.0,7.6,0.679,0.181,2017-18,52.0,34.2,10.2,6.9,7.2,0.444,0.169
1628367,Josh Jackson,2017,College/University,2017,35.0,30.8,16.3,7.4,3.0,0.566,0.272,2017-18,77.0,25.4,13.1,4.6,1.5,0.48,0.253
1628367,Josh Jackson,2017,College/University,2017,35.0,30.8,16.3,7.4,3.0,0.566,0.272,2017-18,77.0,25.4,13.1,4.6,1.5,0.48,0.253
1628368,De'Aaron Fox,2017,College/University,2017,36.0,29.6,16.7,4.0,4.6,0.556,0.274,2017-18,73.0,27.7,11.6,2.8,4.4,0.478,0.227
1628368,De'Aaron Fox,2017,College/University,2017,36.0,29.6,16.7,4.0,4.6,0.556,0.274,2017-18,73.0,27.7,11.6,2.8,4.4,0.478,0.227
1628369,Jayson Tatum,2017,College/University,2017,29.0,33.3,16.8,7.3,2.1,0.571,0.266,2017-18,80.0,30.5,13.9,5.0,1.6,0.586,0.192
1628369,Jayson Tatum,2017,College/University,2017,29.0,33.3,16.8,7.3,2.1,0.571,0.266,2017-18,80.0,30.5,13.9,5.0,1.6,0.586,0.192
1628370,Malik Monk,2017,College/University,2017,38.0,32.1,19.8,2.5,2.3,0.592,0.273,2017-18,63.0,13.5,6.7,1.0,1.4,0.477,0.241
1628370,Malik Monk,2017,College/University,2017,38.0,32.1,19.8,2.5,2.3,0.592,0.273,2017-18,63.0,13.5,6.7,1.0,1.4,0.477,0.241
1628371,Jonathan Isaac,2017,College/University,2017,32.0,26.2,12.0,7.8,1.2,0.622,0.203,2017-18,27.0,19.8,5.4,3.7,0.7,0.465,0.149
