TEAM_ID,OLD_SEASON,NEW_SEASON,RETURNING,OUTGOING,INCOMING
1610612737,2025-26,2026-27,"{1629216, 1630552, 1627741, 1629638, 1642854, 1631243, 203468, 1630700, 1628396, 1630228, 1642933, 1642484, 1629111, 1630168, 1630811, 1630557}","{1642368, 1631210, 1631216, 1642258, 1631132}","{1630592, 1642948, 1630598, 1643539, 1643412, 1629652, 1643544, 1642269}"
1610612738,2025-26,2026-27,"{1642917, 1630568, 1629674, 1630573, 1641775, 1631248, 1628401, 1642864, 1628369, 1642873, 1630202, 1631199}","{1630625, 1628449, 202696, 1627759, 1642910}","{1643620, 201144, 1629011, 1642870, 1643416, 202331, 1641759}"
1610612751,2025-26,2026-27,"{1631169, 1641730, 1642849, 1642856, 1629611, 1643052, 1629008, 1642962, 1630549, 1642874, 1642879}","{1630592, 1641761, 1630533, 1630534, 1630604, 1641869, 1630286, 1629651, 1630623}","{203944, 1631165, 1643538, 1643414, 1643548, 1629021}"
1610612766,2025-26,2026-27,"{1629632, 1642275, 1642883, 1642851, 1630214, 1641706, 1642862, 1626192, 1631217, 1641810, 1629684, 1641750, 1641790}","{1630182, 1628970, 1630544, 1641809, 1630163, 1641787}","{1628960, 1642369, 1643515, 1629675, 1626220, 203471, 1627827, 1643251, 1643573, 1643419, 1643102}"
1610612741,2025-26,2026-27,"{1641824, 1642855, 1630188, 1628380, 1630581, 1631159, 1630200, 1642265, 1630171, 1630172}","{1630208, 1642530, 1642950, 1642280, 1631338, 1627824, 1630644, 1629012, 1629014, 1631093}","{1626181, 1643591, 1643410, 1629651, 1643637, 1643517}"
1610612739,2025-26,2026-27,"{1642400, 1630241, 1628386, 1628418, 1642434, 1630596, 1641854, 1642281, 1641772, 201935, 1628378, 1642878}","{1629731, 1642468, 1628366, 1631247, 203471, 1629622, 1641753, 1626204, 1631165, 1630846}","{1643640, 1626209, 1631212, 1643509}"
1610612742,2025-26,2026-27,"{1629655, 203939, 1631108, 1628997, 1642843, 1630230, 1642967, 1630619, 1641726, 1629023}","{1641890, 1628963, 202691, 1642948, 1630314, 203114, 1642358, 1642939, 1630526}","{1643585, 1643588, 1631204, 1643516, 1642258, 1641844, 1630583, 202681, 1643547, 1641724}"
1610612743,2025-26,2026-27,"{1629661, 1626145, 1627750, 1628971, 1630192, 1642354, 1641747, 1631124, 1631223, 1631128, 1642938, 203932, 1642461, 203999}","{1631212, 203501, 1629618, 1641816, 202685}","{1643624, 1628963, 1643813, 1642350}"
1610612765,2025-26,2026-27,"{1631105, 1630595, 1642404, 1642403, 1631111, 1629130, 1641709, 1642449, 1642450, 1630194, 1641842, 1629750, 1628989}","{1627747, 1631204, 1641732, 202699, 1630191, 1641752}","{1641989, 1627752, 203914, 1643536, 1630198, 1642391, 1628381}"
1610612744,2025-26,2026-27,"{203552, 204001, 1627780, 1641764, 1642502, 203110, 1629001, 1643018, 1642954, 1631466, 1630541, 1629646, 1630611, 201939, 202710, 201143}","{1630209, 1642366, 1630311}","{1627777, 1643650, 1631207, 1630314, 1642865}"
