PLAYER_ID,PLAYER,EXP
1642933,Keshon Gilbert,1
1630228,Jonathan Kuminga,5
1642484,RayJ Dennis,2
1630552,Jalen Johnson,5
1630811,Keaton Wallace,2
203468,CJ McCollum,13
1629216,Gabe Vincent,7
1643412,Kingston Flemings,R
1630700,Dyson Daniels,4
1629652,Luguentz Dort,7
1629638,Nickeil Alexander-Walker,7
1627741,Buddy Hield,10
1642948,Ryan Nembhard,1
1643539,Henri Veesaar,R
1628396,Tony Bradley,8
1642854,Asa Newell,1
1630168,Onyeka Okongwu,6
1631243,Mouhamed Gueye,3
1643544,Zuby Ejiofor,R
1630598,Aaron Wiggins,5
1630592,Jalen Wilson,3
1642269,Devin Carter,2
1630557,Corey Kispert,5
1629111,Jock Landale,5
