PLAYER_ID,PLAYER_NAME,ROOKIE_SOURCE,SEASON,GP,TOTAL_MINS,PTS,REB,AST,MPG,PPG,TS_PCT,USG_PCT,BASIC_STATS_SOURCE,ADV_STATS_SOURCE,SAMPLE_NOTE
1643407,AJ Dybantsa,NCAA,2025-26,35,1218.7,894,239,130,34.82,25.5429,0.6,0.34,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643758,AK Okereke,NCAA,2025-26,36,942.9,347,131,72,26.1917,9.6389,0.608,0.172,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643530,Aday Mara,NCAA,2025-26,40,940.0,484,270,97,23.5,12.1,0.659,0.231,RealGM per-game + NCAA bulk cross-check,RealGM NCAA advanced stats,
1642284,Alex Karaban,NCAA,2025-26,40,1370.0,527,211,94,34.25,13.175,0.59,0.185,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643512,Allen Graves,NCAA,2025-26,35,793.0,412,228,63,22.6571,11.7714,0.613,0.22,RealGM NCAA season totals,RealGM NCAA advanced stats,
1642394,Baba Miller,NCAA,2025-26,31,986.5,404,320,115,31.8226,13.0323,0.576,0.213,RealGM NCAA season totals,RealGM NCAA advanced stats,
1642892,Bennett Stirtz,NCAA,2025-26,37,1397.0,734,98,163,37.7568,19.8378,0.607,0.272,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643552,Braden Smith,NCAA,2025-26,39,1345.0,557,138,345,34.4872,14.2821,0.551,0.241,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643415,Brayden Burries,NCAA,2025-26,39,1163.0,626,191,95,29.8205,16.0513,0.616,0.232,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643570,Bruce Thornton,NCAA,2025-26,34,1243.0,677,172,131,36.5588,19.9118,0.665,0.237,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643624,Bryce Hopkins,NCAA,2025-26,37,1065.0,504,230,72,28.7838,13.6216,0.558,0.225,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643410,Caleb Wilson,NCAA,2025-26,24,751.0,476,226,64,31.2917,19.8333,0.626,0.282,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643409,Cameron Boozer,NCAA,2025-26,38,1272.0,855,389,157,33.4737,22.5,0.653,0.3,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643418,Cameron Carr,NCAA,2025-26,34,1144.0,642,197,90,33.6471,18.8824,0.622,0.254,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643416,Chris Cenac Jr.,NCAA,2025-26,37,918.0,352,291,27,24.8108,9.5135,0.546,0.201,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643515,Christian Anderson,NCAA,2025-26,33,1268.0,611,118,244,38.4242,18.5152,0.626,0.239,RealGM NCAA season totals,RealGM NCAA advanced stats,
1643517,Dailyn Swain,NCAA,2025-26,36,1181.0,623,271,129,32.8056,17.3056,0.636,0.247,RealGM NCAA season totals,RealGM NCAA advanced stats,
