PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1628960,Grayson Allen,2018,College/University,2018-19,38.0,11.0,5.6,0.6,0.7,0.516,0.238
1628963,Marvin Bagley III,2018,College/University,2018-19,62.0,25.3,14.9,7.6,1.0,0.562,0.237
1628964,Mo Bamba,2018,College/University,2018-19,47.0,16.3,6.2,5.0,0.8,0.539,0.174
1628966,Keita Bates-Diop,2018,College/University,2018-19,30.0,16.8,5.0,2.8,0.6,0.489,0.14
1628969,Mikal Bridges,2018,College/University,2018-19,82.0,29.5,8.3,3.2,2.1,0.556,0.119
1628970,Miles Bridges,2018,College/University,2018-19,80.0,21.2,7.5,4.0,1.2,0.548,0.147
1628971,Bruce Brown,2018,College/University,2018-19,74.0,19.6,4.3,2.5,1.2,0.469,0.113
1628972,Troy Brown Jr.,2018,College/University,2018-19,52.0,14.0,4.8,2.8,1.5,0.487,0.158
1628973,Jalen Brunson,2018,College/University,2018-19,73.0,21.8,9.3,2.3,3.2,0.549,0.186
1628975,Jevon Carter,2018,College/University,2018-19,39.0,14.8,4.4,1.7,1.8,0.432,0.172
1628976,Wendell Carter Jr.,2018,College/University,2018-19,44.0,25.2,10.3,7.0,1.8,0.541,0.192
1628977,Hamidou Diallo,2018,College/University,2018-19,51.0,10.3,3.7,1.9,0.3,0.497,0.16
1628978,Donte DiVincenzo,2018,College/University,2018-19,27.0,15.2,4.9,2.4,1.1,0.507,0.145
1628980,Jacob Evans,2018,College/University,2019-20,29.0,14.4,4.4,1.4,1.1,0.436,0.167
1628981,Bruno Fernando,2019,College/University,2019-20,56.0,12.7,4.3,3.5,0.9,0.542,0.147
1628983,Shai Gilgeous-Alexander,2018,College/University,2018-19,82.0,26.5,10.8,2.8,3.3,0.554,0.182
1628984,Devonte' Graham,2018,College/University,2018-19,46.0,14.7,4.7,1.4,2.6,0.459,0.166
1628988,Aaron Holiday,2018,College/University,2018-19,50.0,12.9,5.9,1.3,1.7,0.518,0.206
1628989,Kevin Huerter,2018,College/University,2018-19,75.0,27.3,9.7,3.3,2.9,0.533,0.153
1628990,Chandler Hutchison,2018,College/University,2018-19,44.0,20.3,5.2,4.2,0.8,0.507,0.121
1628991,Jaren Jackson Jr.,2018,College/University,2018-19,58.0,26.1,13.8,4.7,1.1,0.591,0.231
1628995,Kevin Knox II,2018,College/University,2018-19,75.0,28.8,12.8,4.5,1.1,0.475,0.219
1628998,Cody Martin,2019,College/University,2019-20,48.0,18.8,5.0,3.3,2.0,0.505,0.131
1629001,De'Anthony Melton,2018,College/University,2018-19,50.0,19.7,5.0,2.7,3.2,0.466,0.147
1629003,Shake Milton,2018,College/University,2018-19,20.0,13.4,4.4,1.8,0.9,0.483,0.147
1629004,Svi Mykhailiuk,2018,College/University,2018-19,42.0,10.5,3.2,0.9,0.9,0.447,0.157
1629006,Josh Okogie,2018,College/University,2018-19,74.0,23.7,7.7,2.9,1.2,0.492,0.148
1629008,Michael Porter Jr.,2018,College/University,2019-20,55.0,16.4,9.3,4.7,0.8,0.617,0.211
1629010,Jerome Robinson,2018,College/University,2019-20,63.0,15.5,5.1,2.0,1.4,0.476,0.155
1629012,Collin Sexton,2018,College/University,2018-19,82.0,31.8,16.7,2.9,3.0,0.52,0.247
1629013,Landry Shamet,2018,College/University,2018-19,79.0,22.8,9.1,1.7,1.5,0.604,0.145
1629016,Omari Spellman,2018,College/University,2018-19,46.0,17.5,5.9,4.2,1.0,0.516,0.146
1629018,Gary Trent Jr.,2018,College/University,2019-20,61.0,21.8,8.9,1.6,1.0,0.587,0.15
1629021,Moritz Wagner,2018,College/University,2018-19,43.0,10.4,4.8,2.0,0.6,0.533,0.21
1629022,Lonnie Walker IV,2018,College/University,2019-20,61.0,16.2,6.4,2.3,1.1,0.507,0.183
1629023,P.J. Washington,2019,College/University,2019-20,58.0,30.3,12.2,5.4,2.1,0.547,0.184
1629027,Trae Young,2018,College/University,2018-19,81.0,30.9,19.1,3.7,8.1,0.539,0.277
1629028,Deandre Ayton,2018,College/University,2018-19,71.0,30.7,16.3,10.3,1.8,0.608,0.21
