PLAYER_ID,PLAYER_NAME,ROOKIE_SOURCE,GP,RPG,APG,MPG,PPG,TS_PCT,USG_PCT,HAS_IMPUTED_STATS,TRANSLATED_MPG,TRANSLATED_PPG,TRANSLATED_RPG,TRANSLATED_APG,TRANSLATED_TS_PCT,TRANSLATED_USG_PCT
1643411,Darius Acuff Jr.,NCAA,36.0,3.1,6.4,35.2,23.5,0.604,0.294,False,19.747,9.76815,2.2977600000000002,3.5998600000000005,0.5408796,0.187237
1642369,Michael Ajayi,NCAA,32.0,11.1,3.2,33.6,16.4,0.516,0.272,False,19.747,8.1813,5.59056,2.0081800000000003,0.5202084,0.17985600000000002
1643417,Nate Ament,NCAA,35.0,6.3,2.3,29.7,16.7,0.534,0.291,False,19.747,8.24835,3.6148800000000003,1.56052,0.5244366,0.1862305
1643515,Christian Anderson,NCAA,33.0,3.6,7.4,38.4,18.5,0.626,0.239,False,19.747,8.65065,2.5035600000000002,4.09726,0.5460474,0.1687845
1643591,Tobe Awaka,NCAA,39.0,9.1,0.8,20.8,9.3,0.617,0.196,False,19.747,6.59445,4.76736,0.81442,0.5439333,0.154358
1642926,Tamar Bates,G-LEAGUE,1.0,3.0,0.0,33.1,18.0,0.67,0.16,False,19.725,10.0638,2.912,0.0,0.544,0.135648
1641844,Tarik Biberovic,INTERNATIONAL,61.0,3.3,1.7,23.5,11.4,0.617,0.209,False,21.424,9.9237,3.5007699999999997,1.87204,0.5299838,0.1714636
1643548,Tyler Bilodeau,NCAA,31.0,5.6,1.1,30.3,17.6,0.656,0.259,False,19.747,8.4495,3.32676,0.96364,0.5530944,0.1754945
1642927,Nate Bittle,NCAA,25.0,6.9,2.6,31.1,16.8,0.563,0.281,False,19.747,8.270700000000001,3.86184,1.70974,0.5312487,0.18287550000000002
1643409,Cameron Boozer,NCAA,38.0,10.2,4.1,33.5,22.5,0.653,0.3,False,19.747,9.54465,5.22012,2.45584,0.5523897,0.18925
1643573,Kylan Boswell,NCAA,30.0,4.0,3.0,30.0,12.3,0.559,0.204,False,19.747,7.264950000000001,2.6682,1.9087,0.5303091,0.15704200000000001
1643558,Jaden Bradley,NCAA,39.0,3.4,4.4,30.6,13.3,0.568,0.21,False,19.747,7.48845,2.42124,2.6050600000000004,0.5324232,0.159055
1642350,Trevon Brazile,NCAA,36.0,7.3,1.6,31.5,13.0,0.619,0.176,False,19.747,7.4214,4.02648,1.2123400000000002,0.5444031,0.147648
1643576,Maliq Brown,NCAA,38.0,5.2,1.6,20.3,4.9,0.634,0.127,False,19.747,5.6110500000000005,3.16212,1.2123400000000002,0.5479266,0.1312085
1643414,Mikel Brown Jr.,NCAA,21.0,3.3,4.7,29.0,18.2,0.577,0.308,False,19.747,8.5836,2.38008,2.75428,0.5345373,0.191934
1643415,Brayden Burries,NCAA,39.0,4.9,2.4,29.8,16.1,0.616,0.232,False,19.747,8.11425,3.03864,1.6102599999999998,0.5436984,0.166436
1643418,Cameron Carr,NCAA,34.0,5.8,2.6,33.6,18.9,0.622,0.254,False,19.747,8.74005,3.4090800000000003,1.70974,0.5451078,0.173817
1643572,Rafael Castro,NCAA,29.0,9.1,1.7,27.2,15.3,0.645,0.243,False,19.747,7.93545,4.76736,1.26208,0.5505105,0.1701265
1643416,Chris Cenac Jr.,NCAA,37.0,7.9,0.7,24.8,9.5,0.546,0.201,False,19.747,6.639150000000001,4.273440000000001,0.76468,0.5272554,0.1560355
1643553,Ryan Conwell,NCAA,34.0,4.8,2.7,30.9,18.8,0.566,0.295,False,19.747,8.7177,2.9974800000000004,1.75948,0.5319534,0.1875725
1643595,Quadir Copeland,NCAA,34.0,3.6,6.5,28.8,13.9,0.592,0.257,False,19.747,7.62255,2.5035600000000002,3.6496,0.5380608,0.17482350000000002
1643620,Tucker DeVries,NCAA,32.0,5.2,3.3,34.3,13.7,0.546,0.22,False,19.747,7.57785,3.16212,2.0579199999999997,0.5272554,0.16241
1643738,Malik Dia,NCAA,35.0,5.7,0.8,24.3,14.5,0.516,0.331,False,19.747,7.7566500000000005,3.36792,0.81442,0.5202084,0.1996505
1643813,Alpha Diallo,INTERNATIONAL,59.0,4.4,1.8,25.8,11.4,0.585,0.217,False,21.424,9.9237,4.264060000000001,1.94976,0.521619,0.1780268
1643717,Josh Dix,NCAA,34.0,3.7,2.3,32.9,13.2,0.558,0.205,False,19.747,7.4661,2.54472,1.56052,0.5300742,0.1573775
1643621,Tre Donaldson,NCAA,35.0,3.6,5.7,33.9,16.4,0.553,0.246,False,19.747,8.1813,2.5035600000000002,3.2516800000000003,0.5288997,0.171133
1643407,AJ Dybantsa,NCAA,35.0,6.8,3.7,34.8,25.5,0.6,0.34,False,19.747,10.215150000000001,3.8206800000000003,2.25688,0.53994,0.20267000000000002
1643544,Zuby Ejiofor,NCAA,37.0,7.3,3.5,30.0,16.3,0.609,0.249,False,19.747,8.15895,4.02648,2.1574,0.5420541,0.1721395
1642912,Isaiah Evans,NCAA,38.0,3.2,1.3,28.3,15.0,0.59,0.249,False,19.747,7.8684,2.33892,1.06312,0.537591,0.1721395
1643412,Kingston Flemings,NCAA,37.0,4.1,5.2,31.7,16.1,0.563,0.262,False,19.747,8.11425,2.70936,3.0029800000000004,0.5312487,0.17650100000000002
1643551,Ja'Kobi Gillespie,NCAA,37.0,2.8,5.4,34.7,18.4,0.538,0.27,False,19.747,8.6283,2.17428,3.10246,0.5253762,0.179185
1643512,Allen Graves,NCAA,35.0,6.5,1.8,22.7,11.8,0.613,0.22,False,19.747,7.1532,3.6972000000000005,1.31182,0.5429937,0.16241
1643727,J'Vonne Hadley,NCAA,34.0,5.1,1.8,28.1,11.5,0.648,0.17,False,19.747,7.08615,3.12096,1.31182,0.5512152,0.14563500000000001
1643624,Bryce Hopkins,NCAA,37.0,6.2,1.9,28.8,13.6,0.558,0.225,False,19.747,7.5555,3.5737200000000007,1.3615599999999999,0.5300742,0.1640875
1643585,Vsevolod Ishchenko,INTERNATIONAL,42.0,4.6,2.0,24.3,8.7,0.611,0.197,True,21.424,7.57335,4.402839999999999,2.1052,0.5284154000000001,0.1616188
1643538,Joshua Jefferson,NCAA,35.0,7.4,4.8,30.9,16.4,0.56,0.277,False,19.747,8.1813,4.06764,2.80402,0.530544,0.18153350000000001
1643516,Morez Johnson,NCAA,40.0,7.3,1.2,25.1,13.1,0.677,0.213,False,19.747,7.44375,4.02648,1.01338,0.5580273,0.1600615
1643650,Lajae Jones,NCAA,33.0,5.7,1.1,29.5,12.7,0.556,0.204,False,19.747,7.35435,3.36792,0.96364,0.5296044,0.15704200000000001
1641751,Arthur Kaluma,G-LEAGUE,35.0,4.9,1.6,26.4,14.6,0.709,0.192,False,19.725,8.16286,2.912,0.90672,0.544,0.1627776
1642284,Alex Karaban,NCAA,40.0,5.3,2.4,34.2,13.2,0.59,0.185,False,19.747,7.4661,3.2032800000000003,1.6102599999999998,0.537591,0.1506675
1643626,Trey Kaufman-Renn,NCAA,37.0,8.3,2.5,28.1,14.2,0.59,0.25,False,19.747,7.6896,4.43808,1.6600000000000001,0.537591,0.172475
1643583,Jack Kayil,INTERNATIONAL,42.0,2.7,3.5,21.1,12.3,0.611,0.197,True,21.424,10.70715,3.0844300000000002,3.271,0.5284154000000001,0.1616188
1643588,Tobi Lawal,NCAA,23.0,8.5,0.6,29.1,12.3,0.635,0.201,False,19.747,7.264950000000001,4.5204,0.7149399999999999,0.5481615,0.1560355
1642865,Yaxel Lendeborg,NCAA,40.0,6.8,3.2,30.2,15.1,0.646,0.205,False,19.747,7.890750000000001,3.8206800000000003,2.0081800000000003,0.5507454,0.1573775
1641831,Malique Lewis,INTERNATIONAL,34.0,5.9,1.5,27.9,9.0,0.638,0.127,False,21.424,7.8345,5.30491,1.7166,0.5354732,0.1041908
1643510,Karim Lopez,INTERNATIONAL,31.0,6.1,2.0,25.8,11.9,0.59,0.196,False,21.424,10.35895,5.44369,2.1052,0.522926,0.1607984
1643530,Aday Mara,NCAA,40.0,6.8,2.4,23.5,12.1,0.659,0.231,False,19.747,7.22025,3.8206800000000003,1.6102599999999998,0.5537991,0.1661005
1642881,Bogoljub Marković,INTERNATIONAL,14.0,8.6,2.1,31.3,16.6,0.649,0.218,False,21.424,14.450300000000002,7.17844,2.18292,0.5383486000000001,0.1788472
1643568,Nick Martinelli,NCAA,33.0,6.2,2.0,35.5,23.0,0.602,0.313,False,19.747,9.656400000000001,3.5737200000000007,1.4113,0.5404098,0.1936115
1643575,Duke Miles,NCAA,28.0,3.0,4.5,29.5,16.1,0.595,0.258,False,19.747,8.11425,2.2566,2.6548000000000003,0.5387655,0.175159
1642394,Baba Miller,NCAA,31.0,10.3,3.7,31.8,13.0,0.576,0.213,False,19.747,7.4214,5.26128,2.25688,0.5343024000000001,0.1600615
1641759,Dillon Mitchell,NCAA,37.0,7.0,3.0,28.2,8.3,0.555,0.146,False,19.747,6.370950000000001,3.9030000000000005,1.9087,0.5293695,0.137583
1641802,Matthew Murrell,G-LEAGUE,31.0,3.5,1.9,28.4,10.3,0.498,0.167,False,19.725,5.758730000000001,2.912,1.07673,0.544,0.1415826
1643593,Izaiyah Nelson,NCAA,34.0,9.6,1.2,27.2,15.9,0.612,0.239,False,19.747,8.06955,4.97316,1.01338,0.5427588,0.1687845
1642392,Jameer Nelson Jr.,G-LEAGUE,11.0,3.2,3.7,27.9,19.9,0.589,0.296,False,19.725,11.12609,2.912,2.09679,0.544,0.25094879999999997
1643712,Narcisse Ngoy,INTERNATIONAL,42.0,11.7,2.2,24.3,10.7,0.611,0.197,True,21.424,9.31435,9.32953,2.2606400000000004,0.5284154000000001,0.1616188
1643589,Tyler Nickel,NCAA,36.0,3.2,1.2,30.6,13.5,0.617,0.19,False,19.747,7.533150000000001,2.33892,1.01338,0.5439333,0.152345
1643758,AK Okereke,NCAA,36.0,3.6,2.0,26.2,9.6,0.608,0.172,False,19.747,6.6615,2.5035600000000002,1.4113,0.5418192000000001,0.146306
1643536,Ebuka Okorie,NCAA,31.0,3.6,3.6,35.1,23.2,0.589,0.312,False,19.747,9.7011,2.5035600000000002,2.20714,0.5373561,0.193276
1643590,Felix Okpara,NCAA,35.0,6.3,0.5,26.8,8.0,0.617,0.135,False,19.747,6.3039000000000005,3.6148800000000003,0.6652,0.5439333,0.1338925
1642391,Ugonna Onyenso,NCAA,36.0,4.9,0.6,18.6,6.5,0.616,0.156,False,19.747,5.96865,3.03864,0.7149399999999999,0.5436984,0.140938
1642923,Otega Oweh,NCAA,36.0,4.8,2.7,32.8,18.6,0.554,0.285,False,19.747,8.673000000000002,2.9974800000000004,1.75948,0.5291346,0.18421749999999998
1643520,Koa Peat,NCAA,36.0,5.6,2.6,27.8,14.1,0.557,0.244,False,19.747,7.66725,3.32676,1.70974,0.5298393,0.170462
1643408,Darryn Peterson,NCAA,24.0,4.2,1.6,29.1,20.2,0.578,0.337,False,19.747,9.0306,2.7505200000000003,1.2123400000000002,0.5347722,0.2016635
1642889,Labaron Philon,NCAA,33.0,3.5,5.0,30.9,22.0,0.626,0.302,False,19.747,9.4329,2.4624,2.9035,0.5460474,0.189921
1643555,Jaron Pierre Jr.,NCAA,34.0,4.9,2.1,33.0,17.6,0.567,0.257,False,19.747,8.4495,3.03864,1.4610400000000001,0.5321883000000001,0.17482350000000002
1643519,Jayden Quaintance,NCAA,4.0,5.0,0.5,16.8,5.0,0.496,0.1935,False,19.747,5.6334,3.0798000000000005,0.6652,0.5155104,0.15351925
1643542,Tarris Reed Jr.,NCAA,35.0,9.0,2.3,27.3,14.7,0.614,0.262,False,19.747,7.80135,4.7262,1.56052,0.5432286,0.17650100000000002
1643563,Richie Saunders,NCAA,25.0,5.8,2.1,31.4,18.0,0.632,0.243,False,19.747,8.5389,3.4090800000000003,1.4610400000000001,0.5474568,0.1701265
1643637,Jaylin Sellers,NCAA,33.0,4.2,1.6,30.0,18.3,0.615,0.27,False,19.747,8.60595,2.7505200000000003,1.2123400000000002,0.5434635,0.179185
1643567,Emanuel Sharp,NCAA,37.0,3.0,1.7,29.3,15.5,0.582,0.252,False,19.747,7.98015,2.2566,1.26208,0.5357118000000001,0.17314600000000002
1642481,Jamarion Sharp,G-LEAGUE,25.0,7.3,0.5,24.9,7.1,0.718,0.096,False,19.725,3.9696100000000003,2.912,0.28335,0.544,0.0813888
1643552,Braden Smith,NCAA,39.0,3.5,8.8,34.5,14.3,0.551,0.241,False,19.747,7.71195,2.4624,4.793620000000001,0.5284299,0.16945549999999998
1642850,Thomas Sorber,NCAA,24.0,8.5,2.4,31.4,14.5,0.58,0.237,False,19.747,7.7566500000000005,4.5204,1.6102599999999998,0.535242,0.1681135
